Common_Name,Class,Kingdom,State_Found,Number_in_India,Number_in_world,Percentage,Status
Pink Headed Duck,Aves,Animalia,Bihar,0,2,0,EX
Ganges shark,Chondrichthyes,Animalia,West Bengal,3,4,75,CR
Black Softshell Turtle,Reptilia,Animalia,Assam,3,3,100,CR
Dhole,Mammalia,Animalia,Arunachal Pradesh,12,40,30,EN
Himalayan Quail,Aves,Animalia,Uttarakhand,12,50,24,CR
Ilex Khasiana,Tracheophytes,Plantae,Meghalaya,4,4,100,CR
White Bellied Heron,Aves,Animalia,Arunachal Pradesh,50,250,20,CR
Purple Frog,Amphibia,Animalia,Karnataka,135,135,100,EN
Gharial,Reptilia,Animalia,Madhya Pradesh,600,700,85.71428571,CR
Great Indian bustard,Aves,Animalia,Rajasthan,150,200,75,CR
Elvira rat,Mammalia,Animalia,Tamil Nadu,70,88,79.54545455,CR
Pygmy Hog,Mammalia,Animalia,Assam,150,200,75,EN
Andaman Treepie,Aves,Animalia,Andaman & Nicobar,325,325,100,VU
Poecilotheria metallica,Arachnida,Animalia,Andhra Pradesh,100,150,66.66666667,CR
Chital,Mammalia,Animalia,Rajasthan,100,200,50,CR
Jerdon's courser,Aves,Animalia,Andhra Pradesh,200,200,100,CR
Kondana soft-furred rat,Mammalia,Animalia,Maharashtra,210,210,100,CR
Hispid hare,Mammalia,Animalia,Uttar Pradesh,300,500,60,EN
Bengal florican,Aves,Animalia,Uttar Pradesh,350,1000,35,CR
Red-crowned roofed turtle,Reptilia,Animalia,Bengal,500,700,71.42857143,CR
Asiatic Lion,Mammalia,Animalia,Gujarat ,674,700,96.28571429,EN
Indian peafowl,Aves,Animalia,Kerala,"15,000","20,000",75,EN
Indian vulture,Aves,Animalia,Rajasthan,12000,14000,85.71428571,CR
Indian Jumping Ant ,Insecta,Animalia,Kerala,90000,100000,90,LC
Deccan mahseer,Actinopterygii,Animalia,Madhya Pradesh,10000,14000,71.42857143,LC
Clouded leopard,Mammalia,Animalia,Sikkim,8000,10000,80,VU
Malabar Giant Squirrel,Mammalia,Animalia,Karnataka,2145,4000,53.625,NT
Nilgiri Tahr,Mammalia,Animalia,Tamil Nadu,3122,4220,73.98104265,EN
Red Panda,Mammalia,Animalia,Sikkim,6000,10000,60,EN
Gaur,Mammalia,Animalia,Karnataka,25500,30000,85,VU
Siberian Crane,Aves,Animalia,Rajasthan,1000,3700,27.02702703,CR
Asian elephant,Mammalia,Animalia,Karnataka,31407,"52,345",60,EN
Barasingha,Mammalia,Animalia,Madhya Pradesh,800,1000,80,VU
Sociable lapwing,Aves,Animalia,Gujarat ,1000,17000,5.882352941,CR
Spoon-billed sandpiper,Aves,Animalia,Tamil Nadu,1000,2500,40,CR
Wild water buffalo,Mammalia,Animalia,Chhattisgarh,3100,3400,91.17647059,EN
Blackbuck,Mammalia,Animalia,Gujarat ,50000,90000,55.55555556,LC
Gee's golden langur,Mammalia,Animalia,Assam,6500,8000,81.25,EN
Nicobar megapode,Aves,Animalia,Nicobar,800,1000,80,VU
Tiger,Mammalia,Animalia,Uttarakhand,2967,3948,75.15197568,EN
Lion-tailed macaque,Mammalia,Animalia,Karnataka,2900,3500,82.85714286,EN
South Asian river dolphin,Mammalia,Animalia,Bihar,3500,5000,70,EN
Olive ridley sea turtle,Reptilia,Animalia,Odisha,600000,1000000,60,VU
Sloth bear,Mammalia,Animalia,Karnataka,11000,20000,55,VU
Namdapha flying squirrel,Mammalia,Animalia,Arunachal Pradesh,500,510,98.03921569,CR
Nilgai,Mammalia,Animalia,Haryana,"10,00,000",37000000,2.702702703,LC
Nilgiri marten,Mammalia,Animalia,Tamil Nadu,1000,1000,100,VU
Sambar deer,Mammalia,Animalia,Odisha,50000,120000,41.66666667,VU
lotus,Tracheophytes,Plantae,Karnataka,50000,55000,90.90909091,LC
Bougainvillea,Tracheophytes,Plantae,Kerala,1000000,1500000,66.66666667,LC
Orchidaceae,Tracheophytes,Plantae,Arunachal Pradesh,1256,28000,4.485714286,LC
Great Hornbill,Aves,Animalia,Arunachal Pradesh,27000,49000,55.10204082,VU
Indian grey hornbill,Aves,Animalia,Himachal Pradesh,250000,300000,83.33333333,LC
Northern goshawk,Aves,Animalia,Punjab,5000,50000,10,LC
Himalayan monal,Aves,Animalia,Uttarakhand,5000,50000,10,LC
Lady slipper orchid,Tracheophytes,Plantae,Arunachal Pradesh,7689,10000,76.89,EN
Siroi lily,Tracheophytes,Plantae,Manipur,1000,1000,100,CR
Swamp deer,Mammalia,Animalia,Madhya Pradesh,800,800,100,VU
Water Lily,Tracheophytes,Plantae,Andhra Pradesh,15000000,80000000,18.75,LC
Jand,Tracheophytes,Plantae,Rajasthan,6000000,15000000,40,LC
Pink-Bell Rhododendron,Tracheophytes,Plantae,Nagaland,20000000,125000000,16,LC
