state,value
Andaman & Nicobar,1
Andhra Pradesh,5
Arunachal Pradesh,8
Assam,8
Bihar,2
Chandigarh,0
Chhattisgarh,1
Dadra and Nagar Haveli and Daman and Diu,0
Delhi,1
Goa,0
Gujarat,5
Haryana,3
Himachal Pradesh,2
Jammu & Kashmir,2
Jharkhand,1
Karnataka,9
Kerala,7
Ladakh,0
Madhya Pradesh,5
Maharashtra,7
Manipur,2
Meghalaya,1
Mizoram,0
Nagaland,1
Odisha,3
Puducherry,0
Punjab,2
Rajasthan,9
Sikkim,2
Tamil Nadu,5
Telangana,0
Tripura,0
Uttarakhand,3
Uttar Pradesh,4
West Bengal,4
